IEM_NM,ALL_TOTAL_CO,MALE_RATE,FEMALE_RATE,ALL_N10S_RATE,ALL_N20S_RATE,ALL_N30S_RATE,ALL_N40S_RATE,ALL_N50S_RATE,REPRT_YEAR_CN,EXAMIN_COUNTRY_NM,CNTNTS_URL
한국 문화콘텐츠 소비(시간),18.18,16.65,19.69,22.03,20.68,13.26,13.44,19.87,2021,중국,드라마
소비 비중(%),29.37,27.92,30.8,29.99,31.8,26.4,28.36,30.91,2021,중국,드라마
월평균 지출 금액($),7.46,8.12,6.82,6.08,7.14,6.42,5.46,20.56,2021,중국,드라마
한국 문화콘텐츠 소비(시간),13.29,11.76,14.76,14.25,13.65,13.17,8.31,15.45,2021,중국,예능
소비 비중(%),28.46,25.52,31.29,24.85,27.79,28.91,30.65,37.55,2021,중국,예능
월평균 지출 금액($),7.68,8.26,7.13,5.05,6.78,8.16,6.37,18.65,2021,중국,예능
"한국 문화콘텐츠 소비(3개월,편)",4.32,3.86,4.81,4.25,4.86,4.77,3.07,3.35,2021,중국,영화
소비 비중(%),24.68,24.6,24.77,19.56,25.24,25.05,28.09,31.7,2021,중국,영화
"월평균 지출 금액(3개월,$)",14.1,14.92,13.24,11.28,15.62,11.53,13.46,30.33,2021,중국,영화
한국 문화콘텐츠 소비(시간),13.42,13.1,13.75,15.56,12.73,11.64,10.81,18.58,2021,중국,음악
소비 비중(%),22.75,21.28,24.2,21.74,19.83,23.84,22.56,30.17,2021,중국,음악
월평균 지출 금액($),12.32,15.28,9.39,5.93,7.46,13.13,10.8,43.45,2021,중국,음악
한국 문화콘텐츠 소비(시간),14.47,12.34,16.21,16.98,12.36,13,14,18.94,2021,중국,애니메이션
소비 비중(%),23.43,22.22,24.42,18.02,24.52,27.75,19.5,28.5,2021,중국,애니메이션
월평균 지출 금액($),17.05,15.64,18.19,15.54,16.32,15.1,9.83,42.26,2021,중국,애니메이션
한국 문화콘텐츠 소비(시간),9.77,8.43,10.78,12.62,10.45,6.54,8.32,12.82,2021,중국,웹툰
소비 비중(%),22.37,21.43,23.08,18.04,25.06,24.19,18.5,26.76,2021,중국,웹툰
월평균 지출 금액($),14.11,13.76,14.38,10.02,15.45,10.47,12.42,37.41,2021,중국,웹툰
한국 문화콘텐츠 소비(시간),9.64,8.6,10.43,11.94,11.21,7.27,6.96,10.65,2021,중국,도서
소비 비중(%),18.68,18.71,18.66,17.6,18.75,18.64,14.93,27.94,2021,중국,도서
월평균 지출 금액($),11.6,10.71,12.28,9.54,13.77,9.36,7.11,26.11,2021,중국,도서
한국 문화콘텐츠 소비(시간),13.93,13.26,14.57,16.49,13.82,10.71,12.79,19.68,2021,중국,게임
소비 비중(%),22.51,22.92,22.1,22.57,21.05,21.97,20.76,32.26,2021,중국,게임
월평균 지출 금액($),17.75,17.86,17.65,14.94,17.67,16.36,16.12,31.82,2021,중국,게임
소비 비중(%),25.81,26.34,25.42,26.75,23.7,24.94,24.29,33.87,2021,중국,패션
월평균 지출 금액($),65.36,73.44,59.51,52.44,78.35,63.79,68.12,61.41,2021,중국,패션
소비 비중(%),28.76,26.07,30.55,26.11,30.72,30.5,24.13,30.45,2021,중국,뷰티
월평균 지출 금액($),65.96,61.63,68.85,72.15,67.11,59.8,66,67.52,2021,중국,뷰티
소비 비중(%),18.71,17.75,19.74,19.73,16.94,19.07,15.19,28.6,2021,중국,음식
월평균 지출 금액($),37.89,40.77,34.78,29.45,31.5,35.32,54.06,54,2021,중국,음식
전체 소비량(시간),65.3,66.8,64.1,92,49.7,64,60,62.6,2020,중국,드라마
한국 문화콘텐츠 소비(시간),20.7,19.3,22.1,28.8,18.7,20.1,16.2,14.6,2020,중국,드라마
소비 비중(%),31.7,28.9,34.6,31.3,37.6,31.4,27,23.4,2020,중국,드라마
월평균 지출 금액($),37.2,12.9,61.8,16.4,11.6,11.4,131.8,2.4,2020,중국,드라마
전체 소비량(시간),56,63.8,49.7,97.9,38.9,46.9,48.2,51,2020,중국,예능
한국 문화콘텐츠 소비(시간),15.3,15.7,14.9,25.9,12.7,12.7,10.9,11.6,2020,중국,예능
소비 비중(%),27.3,24.7,30,26.5,32.7,27,22.6,22.8,2020,중국,예능
월평균 지출 금액($),38.7,16.6,60.2,17.3,17,9.3,137,1.9,2020,중국,예능
전체 소비량(편),8.6,8.8,8.3,8.8,8.4,9.5,8.1,4.1,2020,중국,영화
한국 문화콘텐츠 소비(편),3.2,3.2,3.1,3,3.1,3.4,3.3,2.1,2020,중국,영화
소비 비중(%),37,37,36.9,34.1,36.7,35.9,40.9,52.3,2020,중국,영화
월평균 지출 금액($),15.8,13.1,18.5,16.9,10.6,9.7,31.9,7,2020,중국,영화
전체 소비량(시간),57.9,62.6,53.5,97.8,44.4,40,49.2,42,2020,중국,음악
한국 문화콘텐츠 소비(시간),13.1,13.6,12.6,24.5,11.7,8.5,9.2,5.6,2020,중국,음악
소비 비중(%),22.6,21.7,23.6,25,26.5,21.1,18.6,13.2,2020,중국,음악
월평균 지출 금액($),10.5,8.1,12.9,7.8,8.4,6,24.4,4.5,2020,중국,음악
전체 소비량(시간),62.8,75.3,49.9,125.3,51.6,33.5,46.5,49.7,2020,중국,애니메이션
한국 문화콘텐츠 소비(시간),11.9,14.2,9.5,24.5,10.1,6.3,8.9,6.6,2020,중국,애니메이션
소비 비중(%),19,18.9,19.1,19.5,19.6,18.8,19.1,13.3,2020,중국,애니메이션
월평균 지출 금액($),13.5,13.2,13.9,13.1,13.4,4.3,30.8,1.9,2020,중국,애니메이션
전체 소비량(시간),57.4,70.4,44.6,116.4,38.7,38.4,53.8,40,2020,중국,출판물
