PLTFOM_NM,ALL_TOTAL_CO,MALE_RATE,FEMALE_RATE,ALL_N10S_RATE,ALL_N20S_RATE,ALL_N30S_RATE,ALL_N40S_RATE,ALL_N50S_RATE,REPRT_YEAR_CN,EXAMIN_COUNTRY_NM,CNTNTS_URL
iQiyi,85,89.2,82,93.8,80,86.2,78.6,83.3,2021,중국,드라마
Youku,76,80.2,73,79.7,72.3,75.9,78.6,77.8,2021,중국,드라마
Youtube,22,20.7,23.8,23.4,23.1,25.9,14.3,16.7,2021,중국,드라마
Amazon Prime,17,21.6,12.3,17.2,15.4,19,0,38.9,2021,중국,드라마
Sling TV,10,8.1,11.5,7.8,12.3,12.1,7.1,5.6,2021,중국,드라마
YouTube Premium,9,7.2,10.7,9.4,9.2,10.3,3.6,11.1,2021,중국,드라마
Netflix,7,6.3,8.2,4.7,9.2,6.9,3.6,16.7,2021,중국,드라마
Hulu,4,5.4,3.3,1.6,4.6,6.9,3.6,5.6,2021,중국,드라마
Viu,2,1.8,2.5,3.1,1.5,3.4,0,0,2021,중국,드라마
ifllix,2,0.9,2.5,1.6,1.5,1.7,3.6,0,2021,중국,드라마
기타,5,1.8,8.2,3.1,7.7,5.2,3.6,5.6,2021,중국,드라마
iQiyi,80,85.6,74.5,81.6,76.1,84.6,73.9,81.3,2021,중국,예능
Youku,74,82.5,67.3,77.6,73.1,67.3,73.9,93.8,2021,중국,예능
Youtube,21,19.6,21.8,20.4,20.9,30.8,8.7,6.3,2021,중국,예능
Amazon Prime,15,17.5,12.7,12.2,13.4,17.3,13,25,2021,중국,예능
Sling TV,8,6.2,10,8.2,9,9.6,8.7,0,2021,중국,예능
Netflix,7,7.2,6.4,6.1,3,7.7,13,12.5,2021,중국,예능
YouTube Premium,6,5.2,6.4,2,6,9.6,8.7,0,2021,중국,예능
Viu,5,3.1,7.3,6.1,3,5.8,13,0,2021,중국,예능
Hulu,4,5.2,2.7,0,1.5,5.8,4.3,18.8,2021,중국,예능
ifllix,1,1,0.9,2,0,1.9,0,0,2021,중국,예능
기타,6,2.1,10,4.1,9,5.8,4.3,6.3,2021,중국,예능
iQiyi,84,88.4,80.7,87.5,85.1,84.8,75.9,84.6,2021,중국,영화
Youku,76,76.8,74.8,78.6,73.1,71.2,93.1,61.5,2021,중국,영화
Youtube,18,14.3,21.8,16.1,19.4,27.3,0,15.4,2021,중국,영화
Amazon Prime,11,11.6,10.1,3.6,13.4,13.6,6.9,23.1,2021,중국,영화
Sling TV,8,7.1,9.2,3.6,9,10.6,10.3,7.7,2021,중국,영화
YouTube Premium,7,7.1,6.7,3.6,6,13.6,0,7.7,2021,중국,영화
Netflix,7,3.6,10.1,1.8,9,10.6,0,15.4,2021,중국,영화
Hulu,4,4.5,4.2,1.8,4.5,4.5,6.9,7.7,2021,중국,영화
Viu,4,2.7,5,1.8,1.5,9.1,3.4,0,2021,중국,영화
ifllix,3,2.7,2.5,3.6,1.5,1.5,0,15.4,2021,중국,영화
기타,3,3.6,2.5,1.8,4.5,0,3.4,15.4,2021,중국,영화
QQ Music,92,91,92.2,98.2,91.5,90.6,86.7,82.4,2021,중국,음악
Google Play music,20,17.1,22.4,10.5,16.9,28.1,23.3,23.5,2021,중국,음악
Apple Music,17,15.3,18.1,12.3,16.9,21.9,20,5.9,2021,중국,음악
Amazon Music,16,18.9,13.8,8.8,15.3,21.9,13.3,29.4,2021,중국,음악
YouTube,15,12.6,18.1,10.5,25.4,15.6,13.3,0,2021,중국,음악
Spotify,12,12.6,10.3,7,10.2,12.5,6.7,35.3,2021,중국,음악
iTunes,11,8.1,13.8,8.8,11.9,14.1,6.7,11.8,2021,중국,음악
Deezer,3,1.8,3.4,1.8,1.7,1.6,6.7,5.9,2021,중국,음악
기타,4,3.6,4.3,1.8,6.8,3.1,3.3,5.9,2021,중국,음악
iQiyi,84,89,79.3,90.7,82.6,74.5,92.3,90.9,2021,중국,애니메이션
Youku,76,78.1,74.7,88.4,60.9,78.7,69.2,90.9,2021,중국,애니메이션
Youtube,19,13.7,23,9.3,13,29.8,23.1,27.3,2021,중국,애니메이션
Amazon Prime,18,13.7,21.8,11.6,21.7,19.1,15.4,27.3,2021,중국,애니메이션
YouTube Premium,11,8.2,13.8,9.3,10.9,14.9,7.7,9.1,2021,중국,애니메이션
Hulu,6,2.7,9.2,4.7,6.5,10.6,0,0,2021,중국,애니메이션
Sling TV,6,2.7,9.2,4.7,6.5,10.6,0,0,2021,중국,애니메이션
Netflix,5,1.4,8,2.3,6.5,8.5,0,0,2021,중국,애니메이션
ifllix,3,4.1,2.3,4.7,0,6.4,0,0,2021,중국,애니메이션
Viu,3,1.4,3.4,2.3,0,6.4,0,0,2021,중국,애니메이션
기타,3,1.4,3.4,0,6.5,2.1,0,0,2021,중국,애니메이션
Amazon Prime,60,52.9,66.1,62.1,60.6,62.5,53.8,50,2021,일본,드라마
Youtube,50,58.8,43.5,65.5,33.3,43.8,69.2,66.7,2021,일본,드라마
Netflix,42,39.2,43.5,41.4,48.5,37.5,53.8,0,2021,일본,드라마
Hulu,17,15.7,17.7,138,21.2,18.8,15.4,0,2021,일본,드라마
YouTube Premium,9,7.8,9.7,6.9,12.1,6.3,15.4,0,2021,일본,드라마
Youku,7,5.9,8.1,10.3,6.1,6.3,0,16.7,2021,일본,드라마
iQiyi,4,2,4.8,0,9.1,3.1,0,0,2021,일본,드라마
SlingTV,2,0,3.2,3.4,3,0,0,0,2021,일본,드라마
Viu,2,0,3.2,0,6.1,0,0,0,2021,일본,드라마
iflix,1,2,0,0,0,3.1,0,0,2021,일본,드라마
기타,9,7.8,9.7,6.9,9.1,6.3,7.7,33.3,2021,일본,드라마
Youtube,62,57.1,65.7,78.6,68.4,33.3,63.6,75,2021,일본,예능
Amazon Prime,52,64.3,42.9,71.4,47.4,46.7,54.5,25,2021,일본,예능
Netflix,33,28.6,37.1,21.4,31.6,53.3,36.4,0,2021,일본,예능
Hulu,21,21.4,20,14.3,21.1,26.7,18.2,25,2021,일본,예능
Youku,11,10.7,11.4,0,15.8,13.3,9.1,25,2021,일본,예능
YouTube Premium,10,10.7,8.6,7.1,10.5,0,27.3,0,2021,일본,예능
iQiyi,8,3.6,11.4,0,10.5,20,0,0,2021,일본,예능
iflix,8,10.7,5.7,7.1,5.3,13.3,0,25,2021,일본,예능
SlingTV,6,7.1,5.7,7.1,0,6.7,18.2,0,2021,일본,예능
Viu,3,3.6,2.9,0,5.3,0,9.1,0,2021,일본,예능
기타,2,3.6,0,0,0,0,9.1,0,2021,일본,예능
Amazon Prime,57,60.8,52.2,57.1,63,61.3,63.6,0,2021,일본,영화
Youtube,41,39.2,43.5,61.9,22.2,35.5,54.5,57.1,2021,일본,영화
Netflix,40,43.1,37,57.1,33.3,41.9,36.4,14.3,2021,일본,영화
Hulu,14,9.8,19.6,14.3,14.8,16.1,9.1,14.3,2021,일본,영화
YouTube Premium,8,7.8,8.7,19,3.7,3.2,9.1,14.3,2021,일본,영화
